user_id,name,age,country,email,gender,product,category,amount,payment_method,device,transaction_time,is_fraud
d7520c95-35a2-41b0-8f5c-20ce53ff50f1,Harish Shukla,25,India,harish.shukla@example.com,male,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,864.15,Netbanking,Android Samsung,2025-07-22 22:45:36,1
5e177f86-0af6-4168-a92c-8daca1598728,Olga Kuzmanović,46,Serbia,olga.kuzmanovic@example.com,female,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,16.41,Debit Card,Macbook,2025-07-30 10:24:36,0
4254148c-124d-4e1b-8ab9-0d194794faef,Alta Gracia Roque,30,Mexico,altagracia.roque@example.com,female,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,715.25,Unknown,iPhone 13,2025-07-18 02:51:36,1
13f112d3-4890-4543-b5fd-a84f80b6abd6,Emma Hannula,68,Finland,emma.hannula@example.com,female,SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s,electronics,121.68,UPI,Unknown,2025-08-11 12:28:36,1
88cd91d5-361c-4fdc-9d95-cc69f18171f5,Vorotislav Chayka Roman,58,Ukraine,vorotislav.chaykaroman@example.com,male,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",men's clothing,140.51,Unknown,iPhone 13,2025-07-15 23:30:36,1
7b69ede2-273f-4a3b-81b0-60c621fad92e,Licínio Rodrigues,67,Brazil,licinio.rodrigues@example.com,male,Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin,electronics,818.93,UPI,Android Samsung,2025-07-25 21:37:36,1
8cc70a82-ed9e-4f9a-93c3-5eea1131068d,Ben Skarstad,38,Norway,ben.skarstad@example.com,male,Solid Gold Petite Micropave ,jewelery,215.27,Unknown,Macbook,2025-07-28 22:40:36,1
e249a813-fb5b-46eb-a6cc-68c60ae3df69,Luke Lane,67,Ireland,luke.lane@example.com,male,MBJ Women's Solid Short Sleeve Boat Neck V ,women's clothing,9.41,Unknown,iPhone 13,2025-08-11 08:02:36,1
5e177f86-0af6-4168-a92c-8daca1598728,Olga Kuzmanović,46,Serbia,olga.kuzmanovic@example.com,female,Pierced Owl Rose Gold Plated Stainless Steel Double,jewelery,11.67,Credit Card,Unknown,2025-07-30 06:04:36,1
1e1304d8-d337-4a00-9a1e-12bbb64e0dcd,Mohammed Heiberg,67,Norway,mohammed.heiberg@example.com,male,John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet,jewelery,738.02,Debit Card,Unknown,2025-08-07 03:59:36,1
7b69ede2-273f-4a3b-81b0-60c621fad92e,Licínio Rodrigues,67,Brazil,licinio.rodrigues@example.com,male,Opna Women's Short Sleeve Moisture,women's clothing,9.29,UPI,iPhone 13,2025-07-16 12:08:36,0
e3eeaac1-c911-40af-bb0f-0a98fe20fe04,Luke Davies,48,New Zealand,luke.davies@example.com,male,White Gold Plated Princess,jewelery,9.66,Credit Card,iPhone 13,2025-07-26 00:43:36,0
